,Brand,Model,year,Owners,Transmission,Variant,Mileage,Fuel,Price
0,Mercedes-Benz,GL-Class,2015,1st,Automatic,350 CDI Blue Efficiency,65000.0 km,Diesel,"₹ 35,50,111"
1,Mercedes-Benz,New C-Class,2012,2nd,Automatic,220 BlueEfficiency,56100.0 km,Diesel,"₹ 11,80,000"
2,Fiat,Punto,2012,,Manual,Active 1.3,69856.0 km,Diesel,"₹ 1,55,000"
3,Hyundai,Accent,2001,3rd,Manual,GLE,"70,000 km",Petrol,"₹ 70,000"
4,Maruti Suzuki,Estilo,2010,2nd,Manual,LXI,"90,000 km",Petrol,"₹ 1,55,000"
5,Ford,Ecosport,2013,1st,Manual,2013-2015 1.5 DV5 MT Ambiente,"80,000 km",Diesel,"₹ 3,70,000"
6,Honda,Brio,2014,1st,Manual,1.2 S MT,60000.0 km,Petrol,"₹ 3,25,000"
7,Honda,City,2015,1st,Manual,2015-2017 i VTEC V,83126.0 km,Petrol,"₹ 6,29,999"
8,Hyundai,Venue,2020,1st,Manual,SX Opt Diesel,22000.0 km,Diesel,"₹ 10,75,000"
9,Maruti Suzuki,Alto 800,2013,1st,Manual,LXI,84000.0 km,Petrol,"₹ 2,70,000"
10,Hyundai,Santro Xing,2013,1st,Manual,GLS,70000.0 km,Petrol,"₹ 2,15,000"
11,Maruti Suzuki,Ritz,2012,,Manual,VDi,95000.0 km,Diesel,"₹ 2,75,000"
12,Maruti Suzuki,Swift,2019,1st,Manual,DDiS LDI,"39,500 km",Diesel,"₹ 5,95,000"
13,Maruti Suzuki,Baleno,2019,2nd,Manual,1.2 CVT Delta,"28,500 km",Petrol,"₹ 6,45,000"
14,Ford,Figo,2016,1st,Manual,1.2P Titanium MT,"47,000 km",Petrol,"₹ 4,70,000"
15,Maruti Suzuki,Swift,2005,2nd,Manual,VXI,"96,396 km",Petrol,"₹ 1,45,000"
16,Maruti Suzuki,800,2003,3rd,Manual,AC,"95,653 km",Petrol,"₹ 70,000"
17,Maruti Suzuki,Alto 800,2021,1st,Manual,LX Optional,1800.0 km,Petrol,"₹ 3,99,000"
18,Maruti Suzuki,Swift Dzire,2014,3rd,Manual,LXI Optional-O,"81,500 km",Diesel,"₹ 3,45,000"
19,Ford,Fiesta,2006,3rd,Manual,2004-2010 1.6 Duratec ZXi Leather,"100,000 km",Petrol,"₹ 2,95,000"
20,Volkswagen,Ameo,2016,,Manual,,37893.0 km,Petrol,"₹ 4,06,000"
21,Hyundai,Creta,2020,1st,Manual,Facelift,22000.0 km,Diesel,"₹ 13,50,000"
22,Maruti Suzuki,Swift,2012,1st,Manual,ZDi,75000.0 km,Diesel,"₹ 3,95,000"
23,Maruti Suzuki,Swift,2010,2nd,Manual,2004-2010 ZXi BSIV,"58,000 km",Petrol,"₹ 2,50,000"
24,Mahindra,Xylo,2014,2nd,Automatic,D4 BS III,"260,000 km",Diesel,"₹ 3,20,000"
25,Ford,Figo,2015,1st,Manual,,68000.0 km,Diesel,"₹ 1,85,000"
